block1,block2,bank,context,cases,agreements,agreement,mean_utility_abs_difference_max,mean_utility_abs_difference_p95,vote_difference_max,vote_difference_p95
H1,H2,ALL,ALL,8000,7906,0.98825,0.015380947164467989,0.00384006611626193,0.056640625,0.0185546875
H1,H2,ALL,clean,1600,1580,0.9875,0.008903158266648338,0.0033218259047631898,0.04736328125,0.01953125
H1,H2,ALL,brightness_dark,1600,1583,0.989375,0.015380947164467989,0.00480185025571699,0.03955078125,0.01611328125
H1,H2,ALL,contrast_low,1600,1580,0.9875,0.010281353920611275,0.003583662090034685,0.05419921875,0.01953125
H1,H2,ALL,gaussian_noise,1600,1585,0.990625,0.009766396147903755,0.003850507657318701,0.03857421875,0.0185546875
H1,H2,ALL,gaussian_blur,1600,1578,0.98625,0.008547760025855968,0.0034511127018256984,0.056640625,0.02001953125
H1,H2,A,ALL,4000,3949,0.98725,0.010281353920611275,0.003751602878729974,0.056640625,0.01806640625
H1,H2,A,clean,800,794,0.9925,0.008903158266648338,0.0033110631800344925,0.04736328125,0.0185546875
H1,H2,A,brightness_dark,800,787,0.98375,0.008481418930771867,0.004694125223731142,0.03955078125,0.015649414062499867
H1,H2,A,contrast_low,800,786,0.9825,0.010281353920611275,0.00346510274660566,0.05419921875,0.019067382812499867
H1,H2,A,gaussian_noise,800,794,0.9925,0.009766396147903755,0.0036576438851755907,0.03857421875,0.01806640625
H1,H2,A,gaussian_blur,800,788,0.985,0.008547760025855968,0.0035139875648433384,0.056640625,0.02001953125
H1,H2,B,ALL,4000,3957,0.98925,0.015380947164467989,0.003935326499213054,0.04345703125,0.01904296875
H1,H2,B,clean,800,786,0.9825,0.007361905665797254,0.0033396248087066713,0.04248046875,0.0205078125
H1,H2,B,brightness_dark,800,796,0.995,0.015380947164467989,0.004958615792949759,0.0361328125,0.01611328125
H1,H2,B,contrast_low,800,794,0.9925,0.008979654542518064,0.004014263176489913,0.03955078125,0.01953125
H1,H2,B,gaussian_noise,800,791,0.98875,0.0094773646368568,0.003980402467330081,0.0361328125,0.019067382812499867
H1,H2,B,gaussian_blur,800,790,0.9875,0.007597012244084776,0.003361000865598687,0.04345703125,0.02001953125
H1,ALL,ALL,ALL,8000,7940,0.9925,0.007690473582233994,0.001920033058130965,0.0283203125,0.00927734375
H1,ALL,ALL,clean,1600,1589,0.993125,0.004451579133324169,0.0016609129523815949,0.023681640625,0.009765625
H1,ALL,ALL,brightness_dark,1600,1592,0.995,0.007690473582233994,0.002400925127858495,0.019775390625,0.008056640625
H1,ALL,ALL,contrast_low,1600,1582,0.98875,0.005140676960305637,0.0017918310450173425,0.027099609375,0.009765625
H1,ALL,ALL,gaussian_noise,1600,1591,0.994375,0.004883198073951878,0.0019252538286593506,0.019287109375,0.00927734375
H1,ALL,ALL,gaussian_blur,1600,1586,0.99125,0.004273880012927984,0.0017255563509128492,0.0283203125,0.010009765625
H1,ALL,A,ALL,4000,3968,0.992,0.005140676960305637,0.001875801439364987,0.0283203125,0.009033203125
H1,ALL,A,clean,800,799,0.99875,0.004451579133324169,0.0016555315900172462,0.023681640625,0.00927734375
H1,ALL,A,brightness_dark,800,793,0.99125,0.004240709465385933,0.002347062611865571,0.019775390625,0.007824707031249933
H1,ALL,A,contrast_low,800,787,0.98375,0.005140676960305637,0.00173255137330283,0.027099609375,0.009533691406249933
H1,ALL,A,gaussian_noise,800,795,0.99375,0.004883198073951878,0.0018288219425877954,0.019287109375,0.009033203125
H1,ALL,A,gaussian_blur,800,794,0.9925,0.004273880012927984,0.0017569937824216692,0.0283203125,0.010009765625
H1,ALL,B,ALL,4000,3972,0.993,0.007690473582233994,0.001967663249606527,0.021728515625,0.009521484375
H1,ALL,B,clean,800,790,0.9875,0.003680952832898627,0.0016698124043533357,0.021240234375,0.01025390625
H1,ALL,B,brightness_dark,800,799,0.99875,0.007690473582233994,0.0024793078964748796,0.01806640625,0.008056640625
H1,ALL,B,contrast_low,800,795,0.99375,0.004489827271259032,0.0020071315882449563,0.019775390625,0.009765625
H1,ALL,B,gaussian_noise,800,796,0.995,0.0047386823184284,0.0019902012336650405,0.01806640625,0.009533691406249933
H1,ALL,B,gaussian_blur,800,792,0.99,0.003798506122042388,0.0016805004327993436,0.021728515625,0.010009765625
H2,ALL,ALL,ALL,8000,7966,0.99575,0.007690473582233994,0.001920033058130965,0.0283203125,0.00927734375
H2,ALL,ALL,clean,1600,1591,0.994375,0.004451579133324169,0.0016609129523815949,0.023681640625,0.009765625
H2,ALL,ALL,brightness_dark,1600,1591,0.994375,0.007690473582233994,0.002400925127858495,0.019775390625,0.008056640625
H2,ALL,ALL,contrast_low,1600,1598,0.99875,0.005140676960305637,0.0017918310450173425,0.027099609375,0.009765625
H2,ALL,ALL,gaussian_noise,1600,1594,0.99625,0.004883198073951878,0.0019252538286593506,0.019287109375,0.00927734375
H2,ALL,ALL,gaussian_blur,1600,1592,0.995,0.004273880012927984,0.0017255563509128492,0.0283203125,0.010009765625
H2,ALL,A,ALL,4000,3981,0.99525,0.005140676960305637,0.001875801439364987,0.0283203125,0.009033203125
H2,ALL,A,clean,800,795,0.99375,0.004451579133324169,0.0016555315900172462,0.023681640625,0.00927734375
H2,ALL,A,brightness_dark,800,794,0.9925,0.004240709465385933,0.002347062611865571,0.019775390625,0.007824707031249933
H2,ALL,A,contrast_low,800,799,0.99875,0.005140676960305637,0.00173255137330283,0.027099609375,0.009533691406249933
H2,ALL,A,gaussian_noise,800,799,0.99875,0.004883198073951878,0.0018288219425877954,0.019287109375,0.009033203125
H2,ALL,A,gaussian_blur,800,794,0.9925,0.004273880012927984,0.0017569937824216692,0.0283203125,0.010009765625
H2,ALL,B,ALL,4000,3985,0.99625,0.007690473582233994,0.001967663249606527,0.021728515625,0.009521484375
H2,ALL,B,clean,800,796,0.995,0.003680952832898627,0.0016698124043533357,0.021240234375,0.01025390625
H2,ALL,B,brightness_dark,800,797,0.99625,0.007690473582233994,0.0024793078964748796,0.01806640625,0.008056640625
H2,ALL,B,contrast_low,800,799,0.99875,0.004489827271259032,0.0020071315882449563,0.019775390625,0.009765625
H2,ALL,B,gaussian_noise,800,795,0.99375,0.0047386823184284,0.0019902012336650405,0.01806640625,0.009533691406249933
H2,ALL,B,gaussian_blur,800,798,0.9975,0.003798506122042388,0.0016805004327993436,0.021728515625,0.010009765625
Q0,Q1,ALL,ALL,8000,7870,0.98375,0.02148900099244448,0.005444679403866215,0.0703125,0.0263671875
Q0,Q1,ALL,clean,1600,1578,0.98625,0.013810288140319864,0.004915254045194911,0.0654296875,0.0263671875
Q0,Q1,ALL,brightness_dark,1600,1568,0.98,0.01959097463376865,0.006918522219564862,0.0546875,0.0234375
Q0,Q1,ALL,contrast_low,1600,1578,0.98625,0.013872771919324466,0.005255746959537801,0.06640625,0.0283203125
Q0,Q1,ALL,gaussian_noise,1600,1578,0.98625,0.015113756256472727,0.005185952238105147,0.0654296875,0.02734375
Q0,Q1,ALL,gaussian_blur,1600,1568,0.98,0.02148900099244448,0.00484716502742896,0.0703125,0.02734375
Q0,Q1,A,ALL,4000,3932,0.983,0.02148900099244448,0.0053199353099294515,0.06640625,0.025390625
Q0,Q1,A,clean,800,791,0.98875,0.012629061147696323,0.004593001897161862,0.0654296875,0.025390625
Q0,Q1,A,brightness_dark,800,788,0.985,0.01959097463376865,0.00652928511646596,0.0546875,0.0234375
Q0,Q1,A,contrast_low,800,785,0.98125,0.013872771919324466,0.0053578365125330875,0.06640625,0.0263671875
Q0,Q1,A,gaussian_noise,800,786,0.9825,0.011300736976756959,0.004816157373737657,0.0537109375,0.0263671875
Q0,Q1,A,gaussian_blur,800,782,0.9775,0.02148900099244448,0.004633683076576193,0.056640625,0.02734375
Q0,Q1,B,ALL,4000,3938,0.9845,0.015747608435110992,0.0056602801411147746,0.0703125,0.02734375
Q0,Q1,B,clean,800,787,0.98375,0.013810288140319864,0.005241553452199072,0.0654296875,0.02734375
Q0,Q1,B,brightness_dark,800,780,0.975,0.015747608435110992,0.007084738143519633,0.05078125,0.0224609375
Q0,Q1,B,contrast_low,800,793,0.99125,0.011643109086205498,0.005192639939590528,0.064453125,0.029296875
