client,bank,context,salt,train_half,point,BER256,BER4096,top_mean_utility_margin,p_mode,H1,H2
0,A,clean,T013-S3,0,4,4,4,0.00038421076533253764,0.47412109375,1,4
0,A,gaussian_blur,T013-S1,1,2,4,4,0.0003638502447349036,0.422119140625,4,2
0,B,clean,T013-S0,1,4,4,4,0.00036764685936608763,0.407470703125,4,0
5,A,clean,T013-S3,0,1,3,1,8.719629266665257e-05,0.523193359375,1,3
5,A,contrast_low,T013-S0,1,3,2,2,0.0010387776707042975,0.468994140625,3,2
5,B,clean,T013-S2,1,1,3,1,0.0009300585331897925,0.51904296875,3,1
5,B,gaussian_noise,T013-S1,0,1,1,1,0.0007714039438704773,0.520263671875,1,3
5,B,gaussian_blur,T013-S1,1,1,1,3,0.0008419524155980489,0.508056640625,1,3
5,B,gaussian_blur,T013-S2,0,1,1,3,0.0018650526414677843,0.5224609375,1,3
6,A,contrast_low,T013-S2,0,2,1,1,0.0004970122963893865,0.4599609375,2,1
8,B,contrast_low,T013-S2,1,2,1,3,0.000618177459596665,0.3935546875,1,3
11,A,brightness_dark,T013-S3,0,1,1,1,0.0003325792687576629,0.4873046875,3,1
11,B,brightness_dark,T013-S0,0,1,3,3,0.00036763824315834463,0.48876953125,3,1
11,B,brightness_dark,T013-S2,0,1,3,3,0.0019532552232531756,0.49365234375,3,1
11,B,brightness_dark,T013-S3,1,1,3,3,0.0010584555486953934,0.4912109375,3,1
15,A,clean,T013-S1,0,3,0,0,0.00012686385803942004,0.507568359375,0,3
15,A,brightness_dark,T013-S0,0,0,0,4,0.00033379088686320385,0.3564453125,4,0
15,A,brightness_dark,T013-S1,1,0,0,4,6.12111076421986e-05,0.354736328125,4,0
15,B,clean,T013-S2,0,3,0,0,8.742152633886427e-05,0.504638671875,3,0
15,B,clean,T013-S3,1,3,3,3,0.0001814233483588957,0.51171875,3,0
16,A,gaussian_noise,T013-S1,0,0,3,3,0.00028284687651293326,0.50048828125,0,3
22,A,brightness_dark,T013-S0,1,4,4,1,0.0003461979489839744,0.453369140625,4,1
24,A,clean,T013-S1,0,2,4,4,0.00017529928821202417,0.548583984375,4,2
24,B,clean,T013-S3,0,2,4,4,0.0005906390335279966,0.535400390625,4,2
25,A,gaussian_noise,T013-S0,1,3,3,3,0.0002781702509357869,0.50341796875,0,3
25,A,gaussian_noise,T013-S3,1,3,3,3,0.0008128172269600981,0.50439453125,0,3
25,B,gaussian_noise,T013-S2,0,3,3,3,0.0001494320009533931,0.508056640625,0,3
25,B,gaussian_noise,T013-S2,1,0,3,3,0.00015935276962811547,0.5009765625,0,3
25,B,gaussian_blur,T013-S1,1,2,4,2,0.001813203275939953,0.531005859375,4,2
26,B,gaussian_noise,T013-S1,1,0,3,3,0.00024192461365901127,0.613525390625,3,0
26,B,gaussian_noise,T013-S2,1,0,3,3,0.00019214252972973777,0.59326171875,3,0
27,A,brightness_dark,T013-S0,1,2,1,2,0.00239772981121449,0.522705078125,1,2
