bank,context,true_score_mean,scramble_client_mean_p05,scramble_client_mean_median,scramble_client_mean_p95,fraction_clients_true_beats_own_scramble_median
A,clean,0.3436972138367846,0.4194420478382957,0.42808473018989845,0.4365033999584013,0.81
A,brightness_dark,0.3435198904117525,0.41892668226664637,0.42775152010142303,0.43394930471945325,0.82
A,contrast_low,0.4542925912174857,0.5028338715196379,0.5167355925240793,0.5243644801358296,0.75
A,gaussian_noise,0.3170500936588417,0.3848419568683542,0.38968550076549413,0.39791497829508515,0.79
A,gaussian_blur,0.3873871009306196,0.4647197419587325,0.47463960005108585,0.48444952904139205,0.82
B,clean,0.3436972138367846,0.4194420478382957,0.42808473018989845,0.4365033999584013,0.81
B,brightness_dark,0.3435198904117525,0.41892668226664637,0.42775152010142303,0.43394930471945325,0.82
B,contrast_low,0.4542925912174857,0.5028338715196379,0.5167355925240793,0.5243644801358296,0.75
B,gaussian_noise,0.3170500936588417,0.3848419568683542,0.38968550076549413,0.39791497829508515,0.79
B,gaussian_blur,0.3873871009306196,0.4647197419587325,0.47463960005108585,0.48444952904139205,0.82
