policy,bank,context,defined,undefined,median,p25,p75,fraction_positive,unit
ROT-CURRENT,A,clean,797,3,-0.3,-0.7,0.35909242322980395,0.36386449184441655,client x salt x half;100 clients x8 utility vectors
ROT-CURRENT,A,brightness_dark,785,15,0.09999999999999999,-0.3,0.6,0.5834394904458599,client x salt x half;100 clients x8 utility vectors
ROT-CURRENT,A,contrast_low,792,8,0.09999999999999999,-0.3,0.6,0.5505050505050505,client x salt x half;100 clients x8 utility vectors
ROT-CURRENT,A,gaussian_noise,792,8,-0.39999999999999997,-0.7,0.0,0.21085858585858586,client x salt x half;100 clients x8 utility vectors
ROT-CURRENT,A,gaussian_blur,800,0,0.0,-0.39999999999999997,0.49999999999999994,0.47125,client x salt x half;100 clients x8 utility vectors
ROT-CURRENT,B,clean,797,3,-0.3,-0.7,0.3,0.328732747804266,client x salt x half;100 clients x8 utility vectors
ROT-CURRENT,B,brightness_dark,785,15,0.09999999999999999,-0.3,0.6,0.5770700636942675,client x salt x half;100 clients x8 utility vectors
ROT-CURRENT,B,contrast_low,792,8,0.19999999999999998,-0.3,0.6,0.5669191919191919,client x salt x half;100 clients x8 utility vectors
ROT-CURRENT,B,gaussian_noise,789,11,-0.49999999999999994,-0.7,0.0,0.18757921419518378,client x salt x half;100 clients x8 utility vectors
ROT-CURRENT,B,gaussian_blur,800,0,0.0,-0.49999999999999994,0.39999999999999997,0.45,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,A,clean,797,3,-0.3,-0.7,0.35909242322980395,0.36386449184441655,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,A,brightness_dark,785,15,0.19999999999999998,-0.49999999999999994,0.7,0.575796178343949,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,A,contrast_low,792,8,0.19999999999999998,-0.3,0.7,0.5972222222222222,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,A,gaussian_noise,792,8,-0.3,-0.7,0.19999999999999998,0.3068181818181818,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,A,gaussian_blur,800,0,0.0,-0.49999999999999994,0.6,0.45625,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,B,clean,797,3,-0.3,-0.7,0.3,0.328732747804266,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,B,brightness_dark,785,15,0.09999999999999999,-0.49999999999999994,0.6,0.535031847133758,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,B,contrast_low,792,8,0.3,-0.19999999999999998,0.7,0.6363636363636364,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,B,gaussian_noise,789,11,-0.3,-0.7,0.09999999999999999,0.2813688212927757,client x salt x half;100 clients x8 utility vectors
ROT-CLEAN-SURROGATE,B,gaussian_blur,800,0,-0.09999999999999999,-0.49999999999999994,0.49999999999999994,0.4275,client x salt x half;100 clients x8 utility vectors
